word,category,description
come,OPERATIONS,verb - to move toward a place
get,OPERATIONS,verb - to obtain, receive
give,OPERATIONS,verb - to transfer possession
go,OPERATIONS,verb - to move away from a place
keep,OPERATIONS,verb - to retain, hold
let,OPERATIONS,verb - to allow
make,OPERATIONS,verb - to create, produce
put,OPERATIONS,verb - to place
seem,OPERATIONS,verb - to appear
take,OPERATIONS,verb - to carry, bring
be,OPERATIONS,verb - to exist
do,OPERATIONS,verb - to perform
have,OPERATIONS,verb - to possess
say,OPERATIONS,verb - to speak
see,OPERATIONS,verb - to perceive visually
send,OPERATIONS,verb - to dispatch
may,OPERATIONS,verb - to permit, allow
will,OPERATIONS,verb - to intend, future marker
about,PREPOSITION,preposition - indicating location, time, topic
across,PREPOSITION,preposition - from one side to the other
after,PREPOSITION,preposition - indicating time, sequence
against,PREPOSITION,preposition - indicating opposition
among,PREPOSITION,preposition - indicating distribution
at,PREPOSITION,preposition - indicating location, time
before,PREPOSITION,preposition - indicating time, position
between,PREPOSITION,preposition - indicating position in the middle
by,PREPOSITION,preposition - indicating location, means, time
down,PREPOSITION,preposition - indicating movement downward
from,PREPOSITION,preposition - indicating origin, source
in,PREPOSITION,preposition - indicating location, inclusion
off,PREPOSITION,preposition - indicating separation
on,PREPOSITION,preposition - indicating location, contact
over,PREPOSITION,preposition - indicating position above
through,PREPOSITION,preposition - indicating movement within
to,PREPOSITION,preposition - indicating direction, destination
under,PREPOSITION,preposition - indicating position below
up,PREPOSITION,preposition - indicating movement upward
with,PREPOSITION,preposition - indicating accompaniment, means
as,PREPOSITION,preposition - indicating role, comparison
for,PREPOSITION,preposition - indicating purpose, duration
of,PREPOSITION,preposition - indicating possession, relation
till,PREPOSITION,preposition - indicating time until
than,CONJUNCTION,conjunction - used in comparisons
a,ARTICLE,determiner - indefinite article (singular)
the,ARTICLE,determiner - definite article
all,DETERMINER,determiner - referring to the whole
any,DETERMINER,determiner - one or some
every,DETERMINER,determiner - each individual
little,DETERMINER,determiner - small in amount
much,DETERMINER,determiner - large in amount
no,DETERMINER,determiner - not any
other,DETERMINER,determiner - different, additional
some,DETERMINER,determiner - an unspecified amount
such,DETERMINER,determiner - of the type mentioned
that,DETERMINER,determiner - indicating a specific one
this,DETERMINER,determiner - indicating something close
i,PRONOUN,pronoun - first person singular
he,PRONOUN,pronoun - third person singular masculine
you,PRONOUN,pronoun - second person
who,PRONOUN,pronoun - asking about identity
and,CONJUNCTION,conjunction - connecting words, phrases
because,CONJUNCTION,conjunction - indicating reason
but,CONJUNCTION,conjunction - indicating contrast
or,CONJUNCTION,conjunction - indicating alternative
if,CONJUNCTION,conjunction - indicating condition
though,CONJUNCTION,conjunction - indicating concession
while,CONJUNCTION,conjunction - indicating time, contrast
how,ADVERB,adverb - asking about manner
when,ADVERB,adverb - asking about time
where,ADVERB,adverb - asking about place
why,ADVERB,adverb - asking about reason
again,ADVERB,adverb - once more
ever,ADVERB,adverb - at any time
far,ADVERB,adverb - indicating distance
forward,ADVERB,adverb - indicating direction ahead
here,ADVERB,adverb - indicating location near speaker
near,ADVERB,adverb - indicating proximity
now,ADVERB,adverb - at the present time
out,ADVERB,adverb - indicating movement away
still,ADVERB,adverb - continuing, yet
then,ADVERB,adverb - indicating time, consequence
there,ADVERB,adverb - indicating location away from speaker
together,ADVERB,adverb - in unison
well,ADVERB,adverb - indicating manner, condition
almost,ADVERB,adverb - nearly
enough,ADVERB,adverb - sufficient
even,ADVERB,adverb - indicating emphasis
not,ADVERB,adverb - negation
only,ADVERB,adverb - exclusively
quite,ADVERB,adverb - completely, fairly
so,ADVERB,adverb - indicating degree, consequence
very,ADVERB,adverb - indicating high degree
tomorrow,ADVERB,adverb - the day after today
yesterday,ADVERB,adverb - the day before today
north,DIRECTION,adverb - toward the north
south,DIRECTION,adverb - toward the south
east,DIRECTION,adverb - toward the east
west,DIRECTION,adverb - toward the west
please,INTERJECTION,interjection - politeness marker
yes,INTERJECTION,interjection - affirmation

account,THINGS,thing - information about a person, event
act,THINGS,thing - a thing done, action
addition,THINGS,thing - the process of adding
adjustment,THINGS,thing - a small change
advertisement,THINGS,thing - a notice bringing something to public notice
agreement,THINGS,thing - harmony in action, opinion
air,THINGS,thing - the invisible gaseous substance
amount,THINGS,thing - a quantity
amusement,THINGS,thing - the state of finding something funny or interesting
animal,THINGS,thing - a living being other than a human
answer,THINGS,thing - a reply
apparatus,THINGS,thing - a complex structure of parts
approval,THINGS,thing - the action of approving
argument,THINGS,thing - a discussion involving different opinions
art,THINGS,thing - the expression of creative ability
attack,THINGS,thing - a violent or forceful action
attempt,THINGS,thing - an effort to achieve a goal
attention,THINGS,thing - the act of noticing
attraction,THINGS,thing - the force that draws objects together
authority,THINGS,thing - the power to give orders
back,THINGS,thing - the rear part of the human body
balance,THINGS,thing - a state of equilibrium
base,THINGS,thing - the bottom part of something
behavior,THINGS,thing - the way one acts
belief,THINGS,thing - an acceptance that something exists
birth,THINGS,thing - the beginning of life
bit,THINGS,thing - a small piece
bite,THINGS,thing - a small piece of food
blood,THINGS,thing - the red liquid in the body
blow,THINGS,thing - a strike
body,THINGS,thing - the physical structure of a person
brass,THINGS,thing - a yellow metal alloy
bread,THINGS,thing - food made of flour
breath,THINGS,thing - the air in the lungs
brother,THINGS,thing - a male sibling
building,THINGS,thing - a structure with a roof
burn,THINGS,thing - an injury caused by heat
burst,THINGS,thing - a sudden break
business,THINGS,thing - commerce, trade
butter,THINGS,thing - a yellow dairy product
canvas,THINGS,thing - a strong cloth
care,THINGS,thing - attention, concern
cause,THINGS,thing - something that produces an effect
chalk,THINGS,thing - a soft white limestone
chance,THINGS,thing - probability, opportunity
change,THINGS,thing - the act of making different
cloth,THINGS,thing - woven or felted fabric
coal,THINGS,thing - a black mineral fuel
color,THINGS,thing - the property of objects producing different appearances
comfort,THINGS,thing - ease, relief
committee,THINGS,thing - a group appointed for a function
company,THINGS,thing - a business organization
comparison,THINGS,thing - the act of comparing
competition,THINGS,thing - the activity of competing
condition,THINGS,thing - a state of affairs
connection,THINGS,thing - the state of being connected
control,THINGS,thing - the power to direct
cook,THINGS,thing - a person who prepares food
copper,THINGS,thing - a reddish-brown metal
copy,THINGS,thing - a thing made to be identical to another
cork,THINGS,thing - a light porous material
cotton,THINGS,thing - a soft fiber used in textiles
cough,THINGS,thing - a sudden expulsion of air
country,THINGS,thing - a nation
cover,THINGS,thing - a thing serving to protect
crack,THINGS,thing - a narrow opening
credit,THINGS,THINGS,thing - trust, confidence
crime,THINGS,thing - an illegal act
crush,THINGS,thing - the act of crushing
cry,THINGS,thing - a burst of sound
current,THINGS,thing - a flow of water or air
curve,THINGS,thing - a line that is not straight
damage,THINGS,THINGS,thing - physical harm
danger,THINGS,thing - the possibility of harm
darkness,THINGS,thing - absence of light
date,THINGS,thing - a point in time
day,THINGS,thing - the period of daylight
death,THINGS,thing - the end of life
debt,THINGS,thing - something that is owed
decision,THINGS,thing - a conclusion, resolution
degree,THINGS,thing - a level of quality
design,THINGS,thing - a plan
desire,THINGS,thing - a feeling of wanting
destruction,THINGS,thing - the act of destroying
detail,THINGS,thing - an individual circumstance
development,THINGS,thing - the process of developing
direction,THINGS,thing - guidance
discovery,THINGS,thing - the act of discovering
discussion,THINGS,thing - conversation involving arguments
disease,THINGS,thing - a condition impairing health
disgust,THINGS,thing - strong disapproval
distance,THINGS,thing - the space between points
distribution,THINGS,thing - the action of distributing
division,THINGS,thing - the act of dividing
doubt,THINGS,thing - uncertainty
drink,THINGS,thing - a liquid for drinking
driving,THINGS,thing - the action of controlling a vehicle
dust,THINGS,thing - fine particles
earth,THINGS,thing - the planet we live on
edge,THINGS,thing - the border of something
education,THINGS,thing - the process of teaching
effect,THINGS,thing - a result
end,THINGS,thing - the final part
error,THINGS,thing - a mistake
event,THINGS,thing - a happening
example,THINGS,thing - a model for imitation
exchange,THINGS,thing - the act of exchanging
existence,THINGS,thing - the state of existing
expansion,THINGS,thing - the act of expanding
experience,THINGS,thing - practical contact with facts
expert,THINGS,thing - a person with special knowledge
fact,THINGS,thing - something that is true
fall,THINGS,thing - the act of falling
family,THINGS,thing - a group of related people
father,THINGS,thing - a male parent
fear,THINGS,thing - an unpleasant emotion
feeling,THINGS,thing - a state of mind
fiction,THINGS,thing - invented stories
field,THINGS,thing - an area of open land
fight,THINGS,thing - a violent confrontation
fire,THINGS,thing - combustion
flame,THINGS,thing - a hot glowing vapor
flight,THINGS,thing - the action of flying
flower,THINGS,thing - the seed-bearing part of a plant
fold,THINGS,thing - a double layer of material
food,THINGS,thing - nourishment
force,THINGS,thing - strength, power
form,THINGS,thing - the shape of something
friend,THINGS,thing - a person you know well
front,THINGS,thing - the forward part
fruit,THINGS,thing - the sweet product of a plant
glass,THINGS,thing - a transparent material
gold,THINGS,thing - a yellow precious metal
government,THINGS,thing - the group controlling a country
grain,THINGS,thing - a small hard seed
grass,THINGS,thing - green vegetation
grip,THINGS,thing - a tight hold
group,THINGS,thing - a number of people together
growth,THINGS,thing - the process of growing
guide,THINGS,thing - a person who leads
harbor,THINGS,THING,thing - a place where ships dock
harmony,THINGS,thing - agreement in feeling
hate,THINGS,thing - strong dislike
hearing,THINGS,thing - the sense of sound
heat,THINGS,thing - thermal energy
help,THINGS,thing - assistance
history,THINGS,thing - the study of past events
hole,THINGS,thing - an opening
hope,THINGS,thing - a desire for something
hour,THINGS,thing - a period of 60 minutes
humor,THINGS,thing - the quality of being funny
ice,THINGS,thing - frozen water
idea,THINGS,thing - a plan, suggestion
impulse,THINGS,thing - a sudden desire
increase,THINGS,thing - the process of becoming larger
industry,THINGS,thing - economic production
insect,THINGS,thing - a small crawling creature
instruction,THINGS,thing - detailed information
interest,THINGS,thing - the feeling of wanting to know
inventory,THINGS,thing - a complete list of items
iron,THINGS,thing - a strong gray metal
issue,THINGS,thing - a point for discussion
jewel,THINGS,thing - a precious stone
joy,THINGS,thing - great happiness
judge,THINGS,THING,thing - a public official
justice,THINGS,THING,thing - the quality of being just
knowledge,THINGS,THING,thing - familiarity, awareness
labor,THINGS,THING,thing - work requiring effort
land,THINGS,THING,thing - the solid part of the earth's surface
language,THINGS,THING,thing - a system of communication
law,THINGS,THING,thing - the system of rules
lead,THINGS,THING,thing - a heavy blue-gray metal
letter,THINGS,THING,thing - a written message
